"Term","edf","Ref.df","F","p_value","Deviance_Median","Deviance_CI_Lower","Deviance_CI_Upper","Eta_Sq_Median","Eta_Sq_CI_Lower","Eta_Sq_CI_Upper","Amplitude_Median","Amplitude_CI_Lower","Amplitude_CI_Upper","RMS_Median","RMS_CI_Lower","RMS_CI_Upper"
"s(RipplePower_Z)",1.36426511095854,1.63100220105163,7.97433199399874,0.000663497222195886,0.0575703934111503,0.0184307538344028,0.117736525427062,0.000450553061571174,0.000121438791136415,0.000971794240431933,0.0429392290321943,0.0221799011675712,0.0699724967582116,0.0128560927220153,0.00648761430828149,0.0203980224057625
"s(SpindlePower_Match_Z)",1.00091787917675,1.00183409532895,4.8043163084772,0.0283231733540615,0.0181876567236801,0.000736756473208916,0.0548629909595468,0.000156220517387477,1.03496417075549e-05,0.000477036374827105,0.0266228613899492,0.0068434420671194,0.0503175103456127,0.00820086412500723,0.00221446848279594,0.0143629729249966
"s(SpindlePower_NonMatch_Z)",1.51153373755216,1.85656236496293,0.902701439645999,0.478263824301305,0.0106589185946271,5.04396404822249e-05,0.0417972052775736,7.08943226045196e-05,6.05880886463034e-07,0.000320833455356927,0.0184816274043686,0.00189356660918187,0.046137116776442,0.00529599553939209,0.0005576395056663,0.0113685609294741
"ti(SOPhase_Match,SOPhase_NonMatch)",9.08850246506597,36,0.641124357874344,0.000577821288056501,0.161119268124007,0.0661510366006951,0.29615255661542,0.000482850938858491,0.000102267121542978,0.00142953062225397,0.0805637841182477,0.038613454444353,0.133564452130462,0.0157874973641143,0.00818186748657273,0.0236628610520334
"s(SOPhase_Match)",3.093081845384,6,5.52348813655602,0,0.0832734157036769,0.0208373818379247,0.174449639136795,0.000529939608802733,0.000178033608319946,0.00110655497684122,0.0590328869522309,0.0353983138192978,0.084158446238947,0.0201668918115511,0.0122566223981107,0.0284316492777617
"s(SOPhase_NonMatch)",3.81641582476636,6,4.30736467953551,5.03322761336022e-06,0.0946867595877297,0.0340843550951377,0.177073496253997,0.000556275386982424,0.000127858170615156,0.00118441397231815,0.0434894338831256,0.0221841181089282,0.0628094085052212,0.0130535430870883,0.00696185404221824,0.0184377404006777
"ti(RipplePower_Z,SOPhase_Match)",8.03399161452081,24,0.937214014839781,0.000531738545317628,0.136182474980318,0.041813141109396,0.233734646930569,0.000476986127857449,5.71914811912661e-05,0.00115132443288501,0.0804430736084641,0.032959498266864,0.148671225026093,0.0156650784296375,0.00683818881099014,0.0243870375230746
"s(AnimalID)",0.510055537296049,1,2.57016247974811,0.1530438461097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s(SessionID)",8.9621073372765,21,0.808677492565509,0.013704818067094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
